,Tweet,Sentiment
0,"1. ""Di hadapan pengusaha muda se-Jawa Tengah, Kepala LKPP RI Hendrar Prihadi menegaskan terkait clean and clear nya proses pengadaan pemerintah hari ini. https://t.co/dX3XrvP9HT""",1. Netral
1,"2. ""@kumparan @DPR_RI @Kemenag_RI @LKPP_RI @BPKHRI 3 ancaman besar pengelolaan negara: 1.Kelembaman birokrasi terjebak rutin administrasi, boros dan tidak kreatif; 2.Gejala parkinson karena membengkak penunjang;3. Penggunaan anggaran non produktif dan tidak mampu mendorong daya beli rakyat, daya saing global dan daya tawar negara""",2. Positif
2,"3. ""@KemenkeuRI @LKPP_RI @BappenasRI terus bersinergi dalam mendorong percepatan pembangunan IKN demi mewujudkan 4 pilar dalam visi Indonesia 2045. 🚀Berita selengkapnya tentang peluncuran peraturan ini dapat kamu akses di https://t.co/RXLgdeaveZ https://t.co/R9QHL5k8XV""",3. Positif
3,"4. ""Untuk itu Hendi bersama LKPP RI kemudian menerbitkan Peraturan Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah dengan Badan Usaha di Ibu Kota Nusantara.""",4. Netral
4,"5. ""Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah atau LKPP RI Hendrar Prihadi menyebutkan, untuk menyelesaikan tahap awal pembangunan Ibu Kota Negara (IKN) Nusantara yang ditargetkan pada tanggal 17 Agustus 2024, perlu adanya dukungan yang diberikan oleh semua pihak.""",5. Positif
5,"6. ""—baik investor dalam negeri maupun investor asing untuk ikut membangun Ibu Kota Nusantara (IKN),” Kata Kepala LKPP Hendrar Prihadi saat membuka dan memberi arahan dalam Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara pada Kamis (9/1).""",6. Positif
6,"7. ""“Berbagai inovasi pengadaan yang telah digagas oleh LKPP terkait dengan tata cara Pengadaan Badan Usaha melalui skema KPBU di Ibu Kota Nusantara diharapkan dapat mengakselerasi pembangunan di Ibu Kota Nusantara sekaligus menarik investor—""",7. Positif
7,"8. ""—dan Peraturan LKPP Nomor 1 Tahun 2023 tentang Tata Cara Pengadaan Badan Usaha Melalui Kerja Sama Pemerintah Dengan Badan Usaha di Ibu Kota Nusantara dengan mengedepankan aspek kemudahan, percepatan, kepastian, dan simplifikasi dalam pelaksanaanya.""",8. Netral
8,"9. ""Pembiayaan yang mencakup Persiapan, Pembangunan, dan Pemindahan Ibu Kota Negara serta Penyelenggaraan Pemerintahan Daerah Khusus Ibu Kota Nusantara ini, dilakukan melalui skema KPBU yang diatur dalam Peraturan Pemerintah Nomor 17 Tahun 2022–""",9. Netral
9,"10. ""Oleh karena itu, pemerintah telah menetapkan Skema Pembiayaan melalui Kerja Sama Pemerintah dengan Badan Usaha (KPBU) sebagai salah satu skema pembiayaan prioritas. https://t.co/h0TqYShQS9""",10. Positif
10,"11. ""Sejalan dengan itu, proses pemindahan Ibu Kota Negara membutuhkan pembiayaan yang sangat besar dan tidak mungkin dipenuhi oleh APBN sepenuhnya, sehingga lebih dari 80% kebutuhan anggaran diharapkan akan melibatkan partisipasi swasta.""",11. Netral
11,"12. ""Penetapan perpindahan Ibu Kota Negara diharapkan dapat mengurangi kesenjangan dan mewujudkan pembangunan Indonesia yang berkelanjutan.""",12. Positif
12,"13. ""—melainkan transformasi besar bangsa Indonesia yang menjadi prioritas nasional pemerintah dalam rangka mewujudkan visi Indonesia Emas 2045.""",13. Positif
13,"14. ""Jakarta - Pemindahan Ibu Kota Negara RI semula dari DKI Jakarta ke Ibu Kota Nusantara, Kalimantan Timur tidak hanya sekadar membangun gedung pemerintahan—""",14. Netral
14,"15. ""@hendrarprihadi @LKPP_RI hooh LKPP""",15. Netral
15,"16. ""Selamat memperingati #HariPersNasional2023.Pers berperan sebagai penyebar informasi kebenaran dan pilar penegak aspirasi masyarakat.Wujudkan Pers bebas yang bertanggung jawab dengan berdasarkan prinsip-prinsip etika jurnalistik. “Pers Bebas, Demokrasi Bermartabat”#LKPP https://t.co/fATgS8AIk6""",16. Positif
16,"17. ""@Strategi_Bisnis Coba di lelang di LPSE deh. Cc @LKPP_RI""",17. Netral
17,"18. ""@hendrarprihadi @LKPP_RI LKPP""",18. Netral
18,"19. ""Halo RekansDJPPR!Ingin tahu tentang peraturan skema KPBU untuk pembangunan Ibu Kota Nusantara (IKN)?Yuk ikut menyimak acara:🌟Launching dan Sosialisasi Bersama Peraturan Pelaksanaan Skema KPBU di Ibu Kota Nusantara🌟Kolaborasi antara @KemenkeuRI @BappenasRI dan @LKPP_RI. https://t.co/7GiiPnblEO""",19. Positif
19,"20. """"Penggunaan PDN di Gorontalo Ditargetkan Naik Menjadi 88,9 Persen""https://t.co/3Fug1dpqXk@kemkominfo @KemenkopUKM @LKPP_RI https://t.co/P5RPMzweS2""",20. Positif
20,"21. ""Kepala LKPP RI, Hendrar Prihadi (Hendi) keliling Indonesia untuk gemakan semangat Bangga Buatan Indonesia https://t.co/WAtOCT8G1W""",21. Positive
21,"22. ""Dinas Koperasi UKM Perindustrian Perdagangan Kolaborasi dengan LKPP RI Dampingi 55 Pelaku UMKM Cantumkan Produk di Katalog Elektronik Lokal#KolaborasiMedanBerkah#MedanBerkah#SalamKolaborasi https://t.co/A6P3SJGyep""",22. Positive
22,"23. ""Hai sobat kompeten!Dlm rangka peningkatan profesionalitas SDM PBJ, @bpsdmdjtg @provjateng sbg TUK Mandiri @LKPP_RI, Th 2023 ini akan melaksanakan Ujikom PBJ. Yuk, sgr daftarkan diri utk ikuti Uji Kompetensi#ASNBerAKHLAK #JatengGayeng @LKPP_RI@LAN_RI @IrwantoArief1 https://t.co/UQ5FOKCwxl""",23. Positive
23,"24. ""Hai #SobATRBPN Selamat kepada PPSDM Kementerian ATR/BPN yang telah menerima  Sertifikat Akreditasi Lembaga Penyelenggara Pelatihan Pengadaan Barang/Jasa (LPPBJ) dari Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah Republik Indonesia (LKPP RI) ✨""",24. Positive
24,"25. ""Kepala LKPP RI Hendrar Prihadi mengatakan, pihaknya sering menemui beberapa kasus ASN yang sengaja tidak meluluskan ujian sertifikasi pengadaan barang/jasa.https://t.co/soUF5Oo0sT""",25. Negative
25,"26. ""Kepala LKPP RI Soroti Banyak #ASN Takut Terlibat Dalam Proses Pengadaan #klikRMOLhttps://t.co/iRf1ZQvDEH""",26. Negative
26,"27. ""@LKPP_RI Hallo LKPP, mau nanya sertifikasi PBJ lv.1, bisa diunduh di akun mulai kapan, setelah dinyatakan lulus..terimakasih""",27. Neutral
27,"28. ""For information, Hevearita G Rahayu, who is familiarly called Ms Ita, was sworn in as Mayor of Semarang for the remainder of her 2021-2026 term. Ms Ita replaces Hendrar Prihadi, who is currently Head of LKPP RI.#sahabatganjar #GanjarPranowo https://t.co/WkFYnK8I69""",28. Neutral
28,"29. ""Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya.#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak#CatatanPolitik https://t.co/GLcKbjY3mV""",29. Positive
29,"30. ""Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan #PDIPerjuangan#SolidBersamaRakyat#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak https://t.co/lfK7mKDvJ4""",30. Positive
30,"31. ""Yuk gabung dan daftarkan produk usahamu pada Katalog Elektronik, ikut terlibat dalam Pengadaan Barang/Jasa Pemerintah!Jangan lupa, update terus informasi terbaru seputar kebijakan LKPP melalui https://t.co/dEIwzryoLi#LKPP#DukungUMKM #KatalogElektronik#BanggaBuatanIndonesia https://t.co/nG1pUOudoq""",31. Positif
31,"32. ""Haloo Sobat Kredibel, Para Pelaku Usaha!#TahukahKamu bagaimana cara menayangkan Produk di Katalog Elektronik? Simak infografik berikut ini untuk informasi selengkapnya terkait tata cara menayangkan produk di Katalog Elektronik ya.#LKPP#DukungUMKM #KatalogElektronik https://t.co/pPIM7qbTFY""",32. Positif
32,"33. ""Sekilas info: Acara pelantikan digelar di Gedung Gradhika Bakti Praja lantai dua. Ita dilantik setelah sebelumnya menjabat plt Wali Kota Semarang karena Hendrar Prihadi atau Hendi, Wali Kota sebelumnya, diangkat menjadi Kepala LKPP RI.""",33. Netral
33,"34. ""Kepala LKPP RI yang merupakan Mantan Walikota Semarang dua periode, Hendrar Prihadi (Hendi) menyambut kedatangan Ketua Umum PDI Perjuangan Ibu Megawati Soekarnoputri beserta rombongan di Kota Semarang https://t.co/nt2jHhAqQP""",34. Positif
34,"35. ""@hendrarprihadi @LKPP_RI @erickthohir Mantab khas Hendy👍👍👍""",35. Positif
35,"36. ""@LKPP_RI dan sampai detik ini masih lemot. pusing. gini kok minta cepat kelar kerjaan. https://t.co/LbzSPMjBbY""",36. Negatif
36,"37. ""@LKPP_RI Servernya tertulis didnt respon""",37. Negatif
37,"38. ""@LKPP_RI Knp website ekatalog bmasalah saat diakses. Loading trus tp halamannya gak terbuka.""",38. Negatif
38,"39. ""@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID The link in the OG tweet should now be working :)""",39. Positif
39,"40. ""@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Yip. Found it!""",40. Positif
40,"41. ""@rahmaut @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Ah you're correct Rahma. Thanks for that! Here's the link and I hope it works this time aroundhttps://t.co/Jyi2Gl8l7C""",41. Netral
41,"42. ""@ivyong_ph @OpenGovIndo @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @KPU_ID Hi Ivy! Rahma here. Is it only me or the page  is broken? It shows error 404 on my side""",42. Netral
42,"43. ""Haduhhh bagaimana ini loginpun syusah @LKPP_RI https://t.co/OhV8ijkwKy""",43. Negatif
43,"44. ""Great to see the work of #opengov reformers inside &amp; outside govt - exciting commitments in @OpenGovIndo 2022-24 Action Plan! @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @PWYP_Indonesia @KPU_ID #Indonesia""",44. Positif
44,"45. ""Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya. https://t.co/IWLBjZyNUO""",45. Positif
45,"46. ""@hendrarprihadi @LKPP_RI @erickthohir Walikotaku wes mundak pangkate😀Selamat nggeh pak""",46. Positif
46,"47. ""Alhamdulillah.. upaya mempercepat transformasi digital di @LKPP_RI mendapat dukungan dari Pak Menteri @erickthohir — https://t.co/Wrpkjrb80c""",47. Positif
47,"48. ""@LKPP_RI Maaf pak @LKPP_RI , mohon sirupnya diperbaiki..Pengadaan di daerah macet kalau kayak gini terus..@KPK_RI""",48. Negatif
